Cluster,Points,KMeans Centroid,Furthest Distance
1,"[array([88.1809, 82.4605]), array([79.2551, 43.9761]), array([75.9701, 51.5351]), array([90.0527, 76.0923]), array([94.5357, 60.4569]), array([86.8313, 71.2549]), array([85.9224, 89.7495]), array([70.7647, 85.3443]), array([80.4824, 62.3435])]",[83.55503333 69.2459    ],25.63302983868881
2,"[array([30.8477, 57.2191]), array([61.0229, 50.3369]), array([36.5402, 50.0319]), array([30.0483, 56.364 ]), array([58.831 , 33.7527]), array([28.9487, 43.2347])]",[41.0398     48.48988333],23.102194052519728
3,"[array([84.5355 ,  3.30332]), array([69.5181, 13.0507]), array([71.9919, 17.669 ]), array([80.0651 ,  2.38803]), array([90.8437, 34.3919])]",[79.39086 14.16059],23.24808483255556
4,"[array([8.26602, 3.42187]), array([22.8414, 18.3256]), array([ 9.95829, 19.3264 ]), array([ 7.50246, 17.2045 ]), array([ 4.42595, 12.1203 ])]",[10.598824 14.079734],12.957933678088187
5,"[array([47.7872, 90.7948]), array([50.4425, 92.3977]), array([36.5183, 78.4153])]",[44.916  87.2026],12.15475242775434
6,"[array([10.9723, 79.6318]), array([10.7578, 70.4488])]",[10.86505 75.0403 ],4.5927524222953675
